theta_deg,c2X_position_mm,gap_position_mm,c2X_velocity_mm_per_deg,gap_velocity_mm_per_deg
1.184684684684684619e+01,4.871007527017974326e+01,1.021763710985587537e+01,-4.052886995848626661e+00,3.740757155122723804e-02
1.189189189189189122e+01,4.852820943131726494e+01,1.021932557208793568e+01,-4.022014822037910164e+00,3.756017188252633310e-02
1.193693693693693625e+01,4.834772635555293618e+01,1.022102091096022036e+01,-3.991491433481644702e+00,3.771289446804252515e-02
1.198198198198198128e+01,4.816861045012115738e+01,1.022272313199196070e+01,-3.961311594957962257e+00,3.786573985333678560e-02
1.202702702702702631e+01,4.799084635586488901e+01,1.022443224072698165e+01,-3.931470169098815415e+00,3.801870858496829431e-02
1.207207207207207134e+01,4.781441894287732453e+01,1.022614824273375689e+01,-3.901962114203321619e+00,3.817180121049948416e-02
1.211711711711711636e+01,4.763931330624069460e+01,1.022787114360544081e+01,-3.872782482107893998e+00,3.832501827850097464e-02
1.216216216216216139e+01,4.746551476185983631e+01,1.022960094895992711e+01,-3.843926416111496547e+00,3.847836033855670662e-02
1.220720720720720642e+01,4.729300884238794822e+01,1.023133766443988613e+01,-3.815389148954384524e+00,3.863182794126897301e-02
1.225225225225225145e+01,4.712178129324231435e+01,1.023308129571280922e+01,-3.787166000848780634e+00,3.878542163826338707e-02
1.229729729729729826e+01,4.695181806870746755e+01,1.023483184847106386e+01,-3.759252377559926472e+00,3.893914198219412121e-02
1.234234234234234151e+01,4.678310532812376010e+01,1.023658932843193448e+01,-3.731643768536101469e+00,3.909298952674888222e-02
1.238738738738738832e+01,4.661562943215909627e+01,1.023835374133766862e+01,-3.704335745086124732e+00,3.924696482665413627e-02
1.243243243243243157e+01,4.644937693916171639e+01,1.024012509295552320e+01,-3.677323958603023968e+00,3.940106843768011874e-02
1.247747747747747837e+01,4.628433460159189394e+01,1.024190338907781772e+01,-3.650604138832484136e+00,3.955530091664610087e-02
1.252252252252252163e+01,4.612048936253082587e+01,1.024368863552197340e+01,-3.624172092184843486e+00,3.970966282142547599e-02
1.256756756756756843e+01,4.595782835226435736e+01,1.024548083813056998e+01,-3.598023700089338917e+00,3.986415471095096363e-02
1.261261261261261168e+01,4.579633888494018379e+01,1.024728000277137951e+01,-3.572154917389451789e+00,4.001877714521981377e-02
1.265765765765765849e+01,4.563600845529617800e+01,1.024908613533743384e+01,-3.546561770778123623e+00,4.017353068529904564e-02
1.270270270270270174e+01,4.547682473545851423e+01,1.025089924174705125e+01,-3.521240357271772758e+00,4.032841589333061028e-02
1.274774774774774855e+01,4.531877557180757066e+01,1.025271932794390572e+01,-3.496186842721968446e+00,4.048343333253670573e-02
1.279279279279279180e+01,4.516184898191009722e+01,1.025454639989706074e+01,-3.471397460363742304e+00,4.063858356722502979e-02
1.283783783783783861e+01,4.500603315151591488e+01,1.025638046360102607e+01,-3.446868509399470870e+00,4.079386716279401193e-02
1.288288288288288186e+01,4.485131643161773241e+01,1.025822152507580043e+01,-3.422596353617387788e+00,4.094928468573816316e-02
1.292792792792792866e+01,4.469768733557224039e+01,1.026006959036693189e+01,-3.398577420043693564e+00,4.110483670365342596e-02
